"rxn"	"v_exp_lb"	"v_sm"	"% diff from v_exp_lb"
"PRMICI_c"	 3.099649619448577E-02	 3.254071547014922E-02	 4.98E+00
"PROD2_m"	 4.404266000000000E-01	 3.901883510972778E-01	-1.14E+01
"PRPPS_c"	 7.769057441932405E-01	 3.608536302774190E-01	-5.36E+01
"PSCIT_c"	 1.023040551421131E-01	 1.192414040429588E-01	 1.66E+01
"PSD_mm"	 1.411121075287863E-02	 1.351677530376301E-02	-4.21E+00
"PSSA_rm"	 1.667924003900231E-02	 1.597662734193774E-02	-4.21E+00
"PYK_c"	 3.903984589715774E+00	 4.220363740119503E+00	 8.10E+00
"PYRDC_c"	 9.338562884098067E-08	 1.212272352294746E-01	 1.30E+08
"PYRtps_m"	 2.607394400000000E+00	 2.580640950613526E+00	-1.03E+00
"RNDR1_c"	 2.322939632743820E-03	 2.225086611955687E-03	-4.21E+00
"RNDR2_c"	 3.625703247712480E-03	 3.472972876154366E-03	-4.21E+00
"RNDR4_c"	 2.322939632743820E-03	 2.072356169439833E-03	-1.08E+01
"RPE_c"	 1.705005245076170E+00	 1.976727568493575E+00	 1.59E+01
"RPI_c"	 1.680560439963093E+00	 1.408838116545687E+00	-1.62E+01
"SACCD1_c"	 1.055161212776545E-01	 1.026396781412752E-01	-2.73E+00
"SACCD2_c"	 1.055161212776545E-01	 1.026396781412752E-01	-2.73E+00
"SADT_c"	 2.055699132142089E-02	 4.710184652421420E-02	 1.29E+02
"SAM24MT_c"	 2.068226666666666E-02	 1.981104148648275E-02	-4.21E+00
"SERt_c_m"	-1.152975713712302E+00	-1.388006279061391E+00	 2.04E+01
"SHK3Di_c"	 1.023040551421131E-01	 1.192414040429588E-01	 1.66E+01
"SHKK_c"	 1.023040551421131E-01	 1.192414040429588E-01	 1.66E+01
"SO3R_c"	 2.055699132142089E-02	 4.710184652421420E-02	 1.29E+02
"SO4t_c_e"	 3.262707688526850E-02	 5.866342891523128E-02	 7.98E+01
"SQLEy_r"	 2.068226666666666E-02	 1.981104148648275E-02	-4.21E+00
"SQLS_c"	 2.068226666666666E-02	 1.981104148648275E-02	-4.21E+00
"STATg_rm"	 4.110857056847692E-03	 3.937703539829905E-03	-4.21E+00
"SUCDq9_m"	 1.396209707022409E+00	 1.433808160250555E+00	 2.69E+00
"SUCFUMt_c_m"	 7.624337076837510E-02	 6.749849504471599E-02	-1.15E+01
"TALA_c"	 9.036546957698518E-01	 1.047984486268268E+00	 1.60E+01
"THRA_c"	-9.338562884098067E-08	 0.000000000000000E+00	-1.00E+02
"THRD_L_m"	 9.234661146426060E-02	 7.278473841689381E-02	-2.12E+01
"THRS_c"	 1.818023086785791E-01	 1.629834928401477E-01	-1.04E+01
"THRt_c_m"	 9.234661146426060E-02	 7.278473841689381E-02	-2.12E+01
"TKT1_c"	 9.036546957698518E-01	 1.047984486268268E+00	 1.60E+01
"TKT2_c"	 8.013506406277388E-01	 9.287430822253077E-01	 1.59E+01
"TMDS_c"	 2.322939632743820E-03	 2.225090681214808E-03	-4.21E+00
"TPI_c"	 2.774586181088563E+00	 3.105905112116649E+00	 1.19E+01
"TRDR_c"	 3.245427708233349E-02	 5.849796542947656E-02	 8.02E+01
"TRE6PP_c"	 5.323432318293447E-02	 5.099176268032701E-02	-4.21E+00
"TRE6PS_c"	 5.323432318293447E-02	 5.099176268032701E-02	-4.21E+00
"TRPO2_c"	 5.864462853323326E-01	 1.684633305992639E-01	-7.13E+01
"TRPS1_c"	 5.968854036286570E-01	 1.846823952212022E-01	-6.91E+01
"TYRTA_c"	 3.147817081295786E-02	 4.417006507450688E-02	 4.03E+01
"UAGDP_c"	 6.256357965772339E-03	 5.992865739133599E-03	-4.21E+00
"UMPK_c"	 7.624337076837510E-02	 6.749849504471599E-02	-1.15E+01
"UREA_c"	-7.658060630078012E-08	 0.000000000000000E+00	-1.00E+02
"VALTA_c"	 1.286426881921604E-01	 1.403019001431349E-01	 9.06E+00
"VALTA_m"	-2.463645834695243E-01	-2.591310955201983E-01	 5.18E+00
"VALt_c_m"	 2.463645834695243E-01	-2.591310955201983E-01	-2.05E+02
"ZN2t_c_e"	 6.092449427865303E-04	 6.188613124074471E-04	 1.58E+00
"compACYLCOA_c"	 5.562222843707329E-02	 0.000000000000000E+00	-1.00E+02
