,old_min,old_max,new_min,new_max,diff_min,diff_max
CHORM_c,0.08823681433042457,0.08823681426802313,0.08816574047426248,0.0881657404737789,7.10738561620905e-05,7.107379424423077e-05
CHORS_c,0.0983809323240589,0.0983809322420742,0.09830168748406559,0.09830168748361996,7.924483999330323e-05,7.924475845423606e-05
FRTT_l,0.006049090747569285,0.006049090739282507,0.006044218266519659,0.006044218266454266,4.872481049625864e-06,4.872472828240486e-06
GGTT_l,0.006049090747569285,0.0060490907392874325,0.006044218266519659,0.006044218266449043,4.872481049625864e-06,4.8724728383894855e-06
PPTT_l,0.006049090747569285,0.0060490907392874325,0.006044218266519659,0.006044218266449042,4.872481049625864e-06,4.872472838390353e-06
PRENT6_l,0.006049090747569285,0.0060490907392874325,0.006044218266519659,0.006044218266449042,4.872481049625864e-06,4.872472838390353e-06
PRENT7_l,0.006049090747569285,0.0060490907392874325,0.006044218266519659,0.006044218266449042,4.872481049625864e-06,4.872472838390353e-06
PRENT8_l,0.006049090747569285,0.0060490907392874325,0.006044218266519659,0.006044218266449041,4.872481049625864e-06,4.87247283839122e-06
PRENT9_l,0.006049090747569285,0.006049090747437528,0.006044218266519659,0.006044218266518537,4.872481049625864e-06,4.872480918990778e-06
PRENT10_l,0.006049090747569285,0.006049090747436132,0.006044218266519659,0.00604421826651884,4.872481049625864e-06,4.8724809172924835e-06
PRENT11_l,0.006049090747569285,0.006049090747436132,0.006044218266519659,0.00604421826651884,4.872481049625864e-06,4.8724809172924835e-06
PRENT12_l,0.006049090747569285,0.006049090747436132,0.006044218266519659,0.00604421826651884,4.872481049625864e-06,4.8724809172924835e-06
PRENT13_l,0.006049090747569285,0.006049090747436133,0.006044218266519659,0.0060442182665188405,4.872481049625864e-06,4.8724809172924835e-06
PRENT14_l,0.005376969553394921,0.005376969553276562,0.005372638459128587,0.005372638459127858,4.331094266334101e-06,4.331094148704237e-06
PRENT15_l,0.004704848359220555,0.004704848359116992,0.004701058651737513,0.0047010586517368756,3.7897074830423386e-06,3.789707380116858e-06
PRENT16_l,0.00403272716504619,0.004032727164957422,0.00402947884434644,0.004029478844345892,3.2483206997497086e-06,3.248320611529479e-06
PRENT17_l,0.0033606059708718257,0.003360605970797852,0.0033578990369553664,0.0033578990369549106,2.706933916459247e-06,2.7069338429412323e-06
PRENT18_l,0.0026884847766974604,0.002688484776638281,0.0026863192295642933,0.002686319229563929,2.1655471331670506e-06,2.1655470743521185e-06
