rxn	upper-bound
PROSYN-rt2643_c	1.84393541
PROSYN-rt2643_n	1.84393541
PROSYN-rt2649_e	2.20125427
PROSYN-rt2649_v	2.20125427
PROSYN-rt2654	2.07678295
PROSYN-rt2657	8.09163772
PROSYN-rt2671	1.40961218
PROSYN-rt2682	1.84096799
PROSYN-rt2684	2.71515853
PROSYN-rt2689	2.21316176
PROSYN-rt2696	2.33275300
PROSYN-rt2707	2.12670928
PROSYN-rt2726	7.42104822
PROSYN-rt2735	2.32909263
PROSYN-rt2739_e	2.40456314
PROSYN-rt2739_v	2.40456314
PROSYN-rt2746	4.64610464
PROSYN-rt2749	3.28226150
PROSYN-rt2756_c	2.62131685
PROSYN-rt2756_m	2.62131685
PROSYN-rt2761	2.81333763
PROSYN-rt2768	5.06680349
PROSYN-rt2769	4.09885040
PROSYN-rt2777	3.71435456
PROSYN-rt2779	4.13349436
PROSYN-rt2799_e	1.76585193
PROSYN-rt2799_l	1.76585193
PROSYN-rt2799_rm	1.76585193
PROSYN-rt2804_c	3.11172018
PROSYN-rt2804_n	3.11172018
PROSYN-rt2810	3.75311841
PROSYN-rt2815_c	2.30170448
PROSYN-rt2815_m	2.30170448
PROSYN-rt2833	2.12591475
PROSYN-rt2834	2.35159234
PROSYN-rt2835	3.79099476
PROSYN-rt2839	1.46289768
PROSYN-rt2848	2.00940335
PROSYN-rt2849	2.44471238
PROSYN-rt2880	1.92868273
PROSYN-rt2898	0.77677112
PROSYN-rt2901	2.23703648
PROSYN-rt2904	2.27991536
PROSYN-rt2922_c	1.28891972
PROSYN-rt2922_n	1.28891972
PROSYN-rt2949	13.55095046
PROSYN-rt2960	6.32181239
PROSYN-rt2963	2.65895797
PROSYN-rt2964	2.90814067
PROSYN-rt2972	2.33126295
PROSYN-rt2975	3.69903534
PROSYN-rt2976	2.40810967
PROSYN-rt2983	2.31225533
PROSYN-rt2984	16.56746921
PROSYN-rt2994	1.39494331
PROSYN-rt3013_gm	1.80174860
PROSYN-rt3013_rm	1.80174860
PROSYN-rt3021	2.07377183
PROSYN-rt3023_c	2.76320348
PROSYN-rt3023_r	2.76320348
PROSYN-rt3035	6.46341518
PROSYN-rt3050_v	1.17852496
PROSYN-rt3050_vm	1.17852496
PROSYN-rt3052	1.97031496
PROSYN-rt3077	2.72166987
PROSYN-rt3078_gm	0.97666128
PROSYN-rt3078_vm	0.97666128
PROSYN-rt3095	1.59456216
PROSYN-rt3097	3.63227043
PROSYN-rt3101	1.26596184
PROSYN-rt3107	2.87846554
PROSYN-rt3118	1.70863911
PROSYN-rt3125	2.28973843
PROSYN-rt3157	5.89842850
PROSYN-rt3160	6.63240238
PROSYN-rt3166_v	1.17852496
PROSYN-rt3166_vm	1.17852496
PROSYN-rt3174_c	3.91948816
PROSYN-rt3174_m	3.91948816
PROSYN-rt3182	2.86843539
PROSYN-rt3215	4.15064370
PROSYN-rt3226	2.48123589
PROSYN-rt3236	2.56253186
PROSYN-rt3242_c	4.73618808
PROSYN-rt3242_e	4.73618808
PROSYN-rt3250	2.95424087
PROSYN-rt3253	3.20583286
PROSYN-rt3255	2.98762435
PROSYN-rt3256	1.57575589
PROSYN-rt3257_c	2.18754769
PROSYN-rt3257_e	2.18754769
PROSYN-rt3261	7.17261839
PROSYN-rt3274	1.77537381
PROSYN-rt3278	1.42165758
PROSYN-rt3279	2.29808282
PROSYN-rt3281_e	2.09698560
PROSYN-rt3281_v	2.09698560
PROSYN-rt3282	3.50937939
PROSYN-rt3293	3.74744341
PROSYN-rt3300	1.21911023
PROSYN-rt3311	3.15825465
PROSYN-rt3313	3.31932666
PROSYN-rt3314	3.28883705
PROSYN-rt3318	2.13784972
PROSYN-rt3333	2.34728943
PROSYN-rt3334	4.10357130
PROSYN-rt3348	2.31460984
PROSYN-rt3355	3.55915193
PROSYN-rt3356	3.99572086
PROSYN-rt3373	3.89081985
PROSYN-rt3377	2.21662260
PROSYN-rt3378	2.17727943
PROSYN-rt3384	2.41721770
PROSYN-rt3387	3.51987491
PROSYN-rt3388	3.73523128
PROSYN-rt3401	8.47355790
PROSYN-rt3408	2.59200855
PROSYN-rt3417	1.40174532
PROSYN-rt3419	1.29397852
PROSYN-rt3422	3.65980082
PROSYN-rt3425	3.98019215
PROSYN-rt3431	1.77188458
PROSYN-rt3434	5.99017436
PROSYN-rt3441	3.36025497
PROSYN-rt3458	2.46130133
PROSYN-rt3465_c	2.18153901
PROSYN-rt3465_x	2.18153901
PROSYN-rt3469	3.03353643
PROSYN-rt3472	3.41294660
PROSYN-rt3476	3.36152496
PROSYN-rt3492	5.62325054
PROSYN-rt3499	2.04773933
PROSYN-rt3505	3.89537749
PROSYN-rt3507	3.53164278
PROSYN-rt3508	3.34170576
PROSYN-rt3509	2.37083857
PROSYN-rt3510_en	2.20182330
PROSYN-rt3510_n	2.20182330
PROSYN-rt3514	3.90575621
PROSYN-rt3516	2.64425815
PROSYN-rt3525	2.18843269
PROSYN-rt3531	2.68330301
PROSYN-rt3539	4.45620224
PROSYN-rt3541	1.96605132
PROSYN-rt3542	2.98864880
PROSYN-rt3556	2.32939098
PROSYN-rt3557	2.20482837
PROSYN-rt3577	1.94368020
PROSYN-rt3584	3.41113569
PROSYN-rt3590	4.12819844
PROSYN-rt3591	2.57124697
PROSYN-rt3594	2.90381640
PROSYN-rt3595	2.99877186
PROSYN-rt3599	7.51734234
PROSYN-rt3605	1.25948554
PROSYN-rt3609	4.68360772
PROSYN-rt3614	2.30605089
PROSYN-rt3621	2.85430361
PROSYN-rt3625	2.24131261
PROSYN-rt3639	1.53367395
PROSYN-rt3654	2.96714860
PROSYN-rt3663	3.20995222
PROSYN-rt3664	4.12994072
PROSYN-rt3666	1.63751872
PROSYN-rt3670	2.17701420
PROSYN-rt3674_c	2.45416205
PROSYN-rt3674_m	2.45416205
PROSYN-rt3682	0.50351999
PROSYN-rt3683	3.20876664
PROSYN-rt3712	3.22146346
PROSYN-rt3730	4.36081244
PROSYN-rt3731	1.67569321
PROSYN-rt3748	2.74712855
PROSYN-rt3750	4.38983828
PROSYN-rt3753	1.46056167
PROSYN-rt3754_c	2.50536613
PROSYN-rt3754_m	2.50536613
PROSYN-rt3755	2.34298512
PROSYN-rt3764	1.94369618
PROSYN-rt3783	3.43562114
PROSYN-rt3786_c	3.47012802
PROSYN-rt3786_x	3.47012802
PROSYN-rt3787_c	3.03623573
PROSYN-rt3787_m	3.03623573
PROSYN-rt3790	1.50706426
PROSYN-rt3791_c	5.24826540
PROSYN-rt3791_m	5.24826540
PROSYN-rt3794	12.11185488
PROSYN-rt3802	2.80753393
PROSYN-rt3852	3.95561106
PROSYN-rt3853	2.32056351
PROSYN-rt3874	4.32590104
PROSYN-rt3875	2.70873980
PROSYN-rt3880	2.79459998
PROSYN-rt3897	4.05012492
PROSYN-rt3901	2.05590916
PROSYN-rt3915	2.46149781
PROSYN-rt3923	3.27569308
PROSYN-rt3932	6.19078320
PROSYN-rt3934	1.02747871
PROSYN-rt3937	3.06663829
PROSYN-rt3938	3.36781694
PROSYN-rt3939_c	3.52194308
PROSYN-rt3939_m	3.52194308
PROSYN-rt3985	2.37323663
PROSYN-rt3986	2.77063331
PROSYN-rt4016	3.26248075
PROSYN-rt4017	1.94807367
PROSYN-rt4019	3.02194781
PROSYN-rt4023	4.59169726
PROSYN-rt4039	2.73813770
PROSYN-rt4042	4.15546935
PROSYN-rt4053	1.98659784
PROSYN-rt4066	2.69248061
PROSYN-rt4068	2.47900506
PROSYN-rt4069	1.09709858
PROSYN-rt4077	5.28554983
PROSYN-rt4099	6.80860495
PROSYN-rt4102	2.28894302
PROSYN-rt4107	6.40379961
PROSYN-rt4108	4.92994357
PROSYN-rt4112	2.65460861
PROSYN-rt4117	1.07905683
PROSYN-rt4127	5.10396115
PROSYN-rt4138	20.08519178
PROSYN-rt4145	2.48473835
