index	prosynSlack(% higher/lower than measured value)
IMG2	-1.000000000000000E+02
MNP1	-9.999999999999999E+01
MRP17	-1.000000000000000E+02
MRP2	-1.000000000000000E+02
MRP20	-1.000000000000000E+02
MRP4	-1.000000000000000E+02
MRP7	-1.000000000000000E+02
MRPL1	-1.000000000000000E+02
MRPL10	-1.000000000000000E+02
MRPL11	-9.999999999999999E+01
MRPL16	-1.000000000000000E+02
MRPL17	-1.000000000000000E+02
MRPL19	-1.000000000000000E+02
MRPL20	-1.000000000000000E+02
MRPL22	-1.000000000000000E+02
MRPL23	-9.999999999999999E+01
MRPL24	-1.000000000000000E+02
MRPL28	-1.000000000000000E+02
MRPL3	-1.000000000000000E+02
MRPL31	-9.999999999999999E+01
MRPL33	-1.000000000000000E+02
MRPL35	-1.000000000000000E+02
MRPL37	-1.000000000000000E+02
MRPL39	-1.000000000000000E+02
MRPL4	-1.000000000000000E+02
MRPL49	-1.000000000000000E+02
MRPL51	-9.999999999999999E+01
MRPL6	-1.000000000000000E+02
MRPL7	-1.000000000000000E+02
MRPL9	-1.000000000000000E+02
MRPS16	-1.000000000000000E+02
MRPS18	-1.000000000000000E+02
MRPS28	-1.000000000000000E+02
MRPS5	-1.000000000000000E+02
MRPS8	-1.000000000000000E+02
MRPS9	-1.000000000000000E+02
NAM9	-1.000000000000000E+02
RML2	-1.000000000000000E+02
RSM10	-9.999999999999999E+01
RSM18	-1.000000000000000E+02
RSM23	-1.000000000000000E+02
RSM24	-1.000000000000000E+02
RSM27	-1.000000000000000E+02
RSM7	-1.000000000000000E+02
SWS2	-1.000000000000000E+02
YML6	-1.000000000000000E+02
