rxn_src	dir	enz	protein_stoich	status	comments
4HPPCL_c	FWD	UNKNOWN	zeroCost	protStoichAsgnAuto	Left as UNKNOWN since no enzyme was found in scRBA or RT models
4HPPR_c	FWD	UNKNOWN	zeroCost	protStoichAsgnAuto	Left as UNKNOWN since no enzyme was found in scRBA or RT models
4HPPR_c	REV	UNKNOWN	zeroCost	protStoichAsgnAuto	Left as UNKNOWN since no enzyme was found in scRBA or RT models
4HTHRS_c	FWD	rt1374	rt1374:1	protStoichAsgnAuto	 
4MOPR_m	FWD	rt4198	rt4198:1	protStoichAsgnManual	Could only find alpha subunit
5AOPt_c_m	FWD	SPONT	zeroCost	protStoichAsgnAuto	
5AOPt_c_m	REV	SPONT	zeroCost	protStoichAsgnAuto	
5AOPtps_e	FWD	rt2901	rt2901:1	protStoichAsgnAuto	 
5FTHFt_c_e	FWD	SPONT	zeroCost	protStoichAsgnAuto	 
5FTHFt_c_e	REV	SPONT	zeroCost	protStoichAsgnAuto	 
6DPMIPPH_c	FWD	rt1395	rt1395:1	protStoichAsgnAuto	 
6DPMIPPH_c	REV	rt1395	rt1395:1	protStoichAsgnManual	 
6DPMIPPH_c	FWD	rt1973	rt1973:1	protStoichAsgnAuto	 
6DPMIPPH_c	REV	rt1973	rt1973:1	protStoichAsgnManual	 
AACTOOR_c	FWD	UNKNOWN	zeroCost	protStoichAsgnAuto	
AASADy_c	FWD	LYS25	"rt1127:1,rt1852:1"	protStoichAsgnManual	 
AATA_c	FWD	rt0172	rt0172:1	protStoichAsgnAuto	 
AATA_c	REV	rt0172	rt0172:1	protStoichAsgnManual	 
AATA_c	FWD	rt4039	rt4039:1	protStoichAsgnAuto	 
AATA_c	REV	rt4039	rt4039:1	protStoichAsgnManual	 
AATA_c	FWD	rt7471	rt7471:1	protStoichAsgnAuto	 
AATA_c	REV	rt7471	rt7471:1	protStoichAsgnManual	 
ABTA_c	FWD	rt2569	rt2569:1	protStoichAsgnAuto	 
ABTA_c	FWD	rt7537	rt7537:1	protStoichAsgnAuto	 
ABTD2Dx_c	FWD	rt1622_c	rt1622_c:1	protStoichAsgnAuto	 
ABTD2Dx_c	REV	rt1622_c	rt1622_c:1	protStoichAsgnAuto	 
ABTD2Dy_c	FWD	rt4606	rt4606:1	protStoichAsgnAuto	 
ABTD2Dy_c	REV	rt4606	rt4606:1	protStoichAsgnAuto	 
ABTD2Dy_c	FWD	rt8084	rt8084:1	protStoichAsgnAuto	 
ABTD2Dy_c	REV	rt8084	rt8084:1	protStoichAsgnAuto	 
ABTD4Dx_c	FWD	rt0620	rt0620:1	protStoichAsgnAuto	 
ABTD4Dx_c	REV	rt0620	rt0620:1	protStoichAsgnAuto	 
ABTD4Dy_c	FWD	rt4606	rt4606:1	protStoichAsgnAuto	 
ABTD4Dy_c	REV	rt4606	rt4606:1	protStoichAsgnAuto	 
ABTD4Dy_c	FWD	rt8084	rt8084:1	protStoichAsgnAuto	 
ABTD4Dy_c	REV	rt8084	rt8084:1	protStoichAsgnAuto	 
ABTDt_c_e	FWD	UNKNOWN	zeroCost	protStoichAsgnAuto	 
ABTLD_c	FWD	UNKNOWN	zeroCost	protStoichAsgnAuto	 
ABTt_c_e	FWD	rt8486	rt8486:1	protStoichAsgnManual	
ABTt_c_e	REV	rt8486	rt8486:1	protStoichAsgnManual	
ABUTD_m	FWD	rt2756_m	rt2756_m:1	protStoichAsgnAuto	 
ACACT100i_m	FWD	rt0517	rt0517:1	protStoichAsgnAuto	 
ACACT100i_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT100i_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT100i_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT101ei_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT101ei_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT101ei_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT120i_m	FWD	rt0517	rt0517:1	protStoichAsgnAuto	 
ACACT120i_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT120i_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT120i_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT121ai_m	FWD	rt0517	rt0517:1	protStoichAsgnAuto	 
ACACT121ai_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT121ai_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT121ai_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT121di_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT121di_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT121di_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT122ei_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT122ei_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT122ei_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT140i_m	FWD	rt0517	rt0517:1	protStoichAsgnAuto	 
ACACT140i_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT140i_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT140i_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT141ai_m	FWD	rt0517	rt0517:1	protStoichAsgnAuto	 
ACACT141ai_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT141ai_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT141ai_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT141bi_m	FWD	rt0517	rt0517:1	protStoichAsgnAuto	 
ACACT141bi_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
ACACT141bi_x	FWD	rt5445	rt5445:1	protStoichAsgnAuto	 
ACACT141bi_x	FWD	rt6860	rt6860:1	protStoichAsgnAuto	 
ACACT142i_x	FWD	rt0697	rt0697:1	protStoichAsgnAuto	 
