id,type,val,vLB,vUB
'DIL_pro__L_d1.f','net',100,0,10000000
'DIL_pro__L_d2.f','net',100,0,10000000
'DIL_pro__L_i1.f','net',0.016818881,0,10000000
'DIL_pro__L_i2.f','net',2.720724256,0,10000000
'DIL_pro__L_m1.f','net',60.43666288,0,10000000
'DIL_pro__L_m2.f','net',5.255328564,0,10000000
'DIL_pyr_c2.f','net',1.00E-07,0,10000000
'DIL_pyr_d2.f','net',100,0,10000000
'DIL_pyr_i2.f','net',1.00E-07,0,10000000
'DIL_pyr_m2.f','net',99.9999998,0,10000000
'DIL_r5p_c1.f','net',99.9999999,0,10000000
'DIL_r5p_c2.f','net',96.15322185,0,10000000
'DIL_r5p_d1.f','net',100,0,10000000
'DIL_r5p_d2.f','net',100,0,10000000
'DIL_r5p_i1.f','net',1.00E-07,0,10000000
'DIL_r5p_i2.f','net',3.846778154,0,10000000
'DIL_s7p_c1.f','net',99.9999999,0,10000000
'DIL_s7p_c2.f','net',98.44488303,0,10000000
'DIL_s7p_d1.f','net',100,0,10000000
'DIL_s7p_d2.f','net',100,0,10000000
'DIL_s7p_i1.f','net',1.00E-07,0,10000000
'DIL_s7p_i2.f','net',1.555116966,0,10000000
'DIL_ser__L_c1.f','net',100.0010493,0,10000000
'DIL_ser__L_c2.f','net',77.08360362,0,10000000
'DIL_ser__L_d1.f','net',100,0,10000000
'DIL_ser__L_d2.f','net',100,0,10000000
'DIL_ser__L_i1.f','net',1.00E-07,0,10000000
'DIL_ser__L_i2.f','net',9.164843976,0,10000000
'DIL_ser__L_m1.f','net',-0.001049366,0,10000000
'DIL_ser__L_m2.f','net',13.75155241,0,10000000
'DIL_succ_c1.f','net',1.00E-07,0,10000000
'DIL_succ_c2.f','net',42.75590042,0,10000000
'DIL_succ_d1.f','net',100,0,10000000
'DIL_succ_d2.f','net',100,0,10000000
'DIL_succ_i1.f','net',3.4007522,0,10000000
'DIL_succ_i2.f','net',1.00E-07,0,10000000
'DIL_succ_m1.f','net',96.5992477,0,10000000
'DIL_succ_m2.f','net',57.24409948,0,10000000
'DIL_thr__L_c1.f','net',99.10626739,0,10000000
'DIL_thr__L_c2.f','net',1.00E-07,0,10000000
'DIL_thr__L_d1.f','net',100,0,10000000
'DIL_thr__L_d2.f','net',100,0,10000000
'DIL_thr__L_i1.f','net',1.00E-07,0,10000000
'DIL_thr__L_i2.f','net',14.43062714,0,10000000
'DIL_thr__L_m1.f','net',0.893732515,0,10000000
'DIL_thr__L_m2.f','net',85.56937276,0,10000000
'DIL_trp__L_c1.f','net',99.35280537,0,10000000
'DIL_trp__L_c2.f','net',99.9999999,0,10000000
'DIL_trp__L_d1.f','net',100,0,10000000
'DIL_trp__L_d2.f','net',100,0,10000000
'DIL_trp__L_i1.f','net',0.64719463,0,10000000
'DIL_trp__L_i2.f','net',1.00E-07,0,10000000
'DIL_tyr__L_c1.f','net',97.82362621,0,10000000
'DIL_tyr__L_c2.f','net',99.9999999,0,10000000
'DIL_tyr__L_d1.f','net',100,0,10000000
'DIL_tyr__L_d2.f','net',100,0,10000000
'DIL_tyr__L_i1.f','net',2.176373791,0,10000000
'DIL_tyr__L_i2.f','net',1.00E-07,0,10000000
'DIL_val__L_c1.f','net',53.09753103,0,10000000
'DIL_val__L_c2.f','net',89.84382405,0,10000000
'DIL_val__L_d1.f','net',100,0,10000000
'DIL_val__L_d2.f','net',100,0,10000000
'DIL_val__L_i1.f','net',1.00E-07,0,10000000
'DIL_val__L_i2.f','net',1.00E-07,0,10000000
'DIL_val__L_m1.f','net',46.90246887,0,10000000
'DIL_val__L_m2.f','net',10.15617585,0,10000000
'DMATT_c.f','net',0.041364515,0,10000000
'DOLPMMT_c.f','net',0.189480629,0,10000000
'DOLPMT_c.f','net',0.18948063,0,10000000
'DPMVD_c.f','net',0.124093546,0,10000000
'DTMPK_c.f','net',0.00232294,0,10000000
'DUTPDP_c.f','net',0.00232294,0,10000000
'ENO_c.f','net',3.947543069,-10000000,10000000
'ENO_c.r','exc',2.00E-07,0,10000000
'ETFOXRq9_m.f','net',0.47406297,0,10000000
'EX_ca2_e.f','net',0.000497142,0,10000000
'EX_co2_e.f','net',16.63858839,-10000000,10000000
'EX_co2_e.r','exc',138.4792913,0,10000000
'EX_cu2_e.f','net',4.41E-05,0,10000000
'EX_fe2_e.f','net',0.000256685,0,10000000
'EX_glc__D_e.f','net',5.331769296,0,10000000
'EX_h_e.f','net',2.565024516,0,10000000
'EX_h2o_e.f','net',24.04023734,0,10000000
'EX_k_e.f','net',0.233357098,0,10000000
'EX_mg2_e.f','net',0.024588991,0,10000000
'EX_mn2_e.f','net',3.63E-05,0,10000000
'EX_nh4_e.f','net',2.756317008,0,10000000
'EX_o2_e.f','net',15.96844141,0,10000000
'EX_pi_e.f','net',0.211539875,0,10000000
'EX_so4_e.f','net',0.032627084,0,10000000
'EX_zn2_e.f','net',0.000609248,0,10000000
'FADH2t_c_m.f','net',9.96E-08,-10000000,10000000
'FADH2t_c_m.r','exc',1.00E-07,0,10000000
