id	name	uniprot	MW (g/mmol)	type	conc (g/gDW)	vtrans (mmol/gDW/h)	c_avg
A0A0K3CAL0	A0A0K3CAL0	A0A0K3CAL0	84.86365	truedata_enz	3.6223200000000004e-07	1.6219919836113579e-09	7.74e-07
A0A0K3CAL8	A0A0K3CAL8	A0A0K3CAL8	56.81099	truedata_enz	8.19e-07	5.4781654042642105e-09	1.75e-06
A0A0K3CAR1	A0A0K3CAR1	A0A0K3CAR1	47.0693	truedata_enz	2.7612e-05	2.2291727304208898e-07	5.9e-05
A0A0K3CAR4	A0A0K3CAR4	A0A0K3CAR4	13.81487	truedata_enz	8.0028e-06	2.201297587309906e-07	1.71e-05
A0A0K3CAR9	A0A0K3CAR9	A0A0K3CAR9	94.9891	truedata_enz	2.18556e-06	8.743243172111327e-09	4.67e-06
A0A0K3CAS0	A0A0K3CAS0	A0A0K3CAS0	100.97121	truedata_enz	1.1372400000000001e-05	4.279944748607054e-08	2.43e-05
A0A0K3CAT4	A0A0K3CAT4	A0A0K3CAT4	57.79897999999999	truedata_enz	2.6816400000000004e-07	1.7630470295496569e-09	5.730000000000001e-07
A0A0K3CAU2	A0A0K3CAU2	A0A0K3CAU2	59.60567	truedata_enz	1.4976e-05	9.547548077221513e-08	3.2e-05
A0A0K3CAU6	A0A0K3CAU6	A0A0K3CAU6	42.16736	truedata_enz	1.9515600000000003e-06	1.7586891851896824e-08	4.17e-06
A0A0K3CAV8	A0A0K3CAV8	A0A0K3CAV8	119.14853999999998	truedata_enz	1.5537600000000002e-05	4.955401048137058e-08	3.32e-05
A0A0K3CAW4	A0A0K3CAW4	A0A0K3CAW4	68.82394000000001	truedata_enz	1.9188e-05	1.059433679617877e-07	4.1e-05
A0A0K3CAX4	A0A0K3CAX4	A0A0K3CAX4	70.47244	truedata_enz	5.9904e-08	3.2301308142587375e-10	1.28e-07
A0A0K3CAX5	A0A0K3CAX5	A0A0K3CAX5	73.84752	truedata_enz	2.5740000000000003e-06	1.3245129965095647e-08	5.5e-06
A0A0K3CAX8	A0A0K3CAX8	A0A0K3CAX8	56.31342000000001	truedata_enz	6.411600000000001e-07	4.326513999682491e-09	1.37e-06
A0A0K3CAY1	A0A0K3CAY1	A0A0K3CAY1	104.5801	truedata_enz	2.74248e-06	9.96501628894981e-09	5.86e-06
A0A0K3CAY3	A0A0K3CAY3	A0A0K3CAY3	79.77311	truedata_enz	3.4398e-06	1.638552138684326e-08	7.35e-06
A0A0K3CAZ2	A0A0K3CAZ2	A0A0K3CAZ2	151.81690000000003	truedata_enz	5.9436000000000005e-05	1.487692081711588e-07	0.000127
A0A0K3CAZ8	A0A0K3CAZ8	A0A0K3CAZ8	28.807629999999996	truedata_enz	3.3602400000000003e-06	4.4324757017498496e-08	7.18e-06
A0A0K3CB08	A0A0K3CB08	A0A0K3CB08	113.62596000000002	truedata_enz	7.0668e-07	2.3633542898119405e-09	1.51e-06
A0A0K3CB35	A0A0K3CB35	A0A0K3CB35	81.10025999999999	truedata_enz	0.00010576800000000001	4.955821350017868e-07	0.000226
A0A0K3CB45	A0A0K3CB45	A0A0K3CB45	58.73333	truedata_enz	1.1700000000000001e-05	7.569807467071933e-08	2.5e-05
A0A0K3CB77	A0A0K3CB77	A0A0K3CB77	26.2845	truedata_enz	6.271200000000001e-08	9.066392740969013e-10	1.34e-07
A0A0K3CB93	A0A0K3CB93	A0A0K3CB93	63.13423999999999	truedata_enz	9.126e-06	5.4928672618851525e-08	1.95e-05
A0A0K3CB94	A0A0K3CB94	A0A0K3CB94	40.02435	truedata_enz	8.1432e-06	7.731333550701011e-08	1.74e-05
A0A0K3CBA3	A0A0K3CBA3	A0A0K3CBA3	159.36705	truedata_enz	7.1604e-06	1.7073491665937218e-08	1.53e-05
A0A0K3CBA8	A0A0K3CBA8	A0A0K3CBA8	41.27517	truedata_enz	3.77676e-05	3.4770754426935126e-07	8.07e-05
A0A0K3CBB3	A0A0K3CBB3	A0A0K3CBB3	103.1192	truedata_enz	1.9796400000000003e-06	7.29508374774048e-09	4.23e-06
A0A0K3CBC1	A0A0K3CBC1	A0A0K3CBC1	62.16829000000001	truedata_enz	2.2651200000000003e-06	1.384541218682386e-08	4.84e-06
A0A0K3CBC2	A0A0K3CBC2	A0A0K3CBC2	81.3395	truedata_enz	3.4725600000000005e-05	1.6223025713214367e-07	7.42e-05
A0A0K3CBD6	A0A0K3CBD6	A0A0K3CBD6	48.28827	truedata_enz	7.6284000000000005e-06	6.003097646695565e-08	1.63e-05
A0A0K3CBE6	A0A0K3CBE6	A0A0K3CBE6	49.86316	truedata_enz	4.51152e-06	3.4381647693407316e-08	9.64e-06
A0A0K3CBE7	A0A0K3CBE7	A0A0K3CBE7	43.6934	truedata_enz	2.4336e-05	2.116493566534076e-07	5.2e-05
A0A0K3CBE9	A0A0K3CBE9	A0A0K3CBE9	55.22081	truedata_enz	1.9234799999999998e-06	1.3236357815106297e-08	4.11e-06
A0A0K3CBH6	A0A0K3CBH6	A0A0K3CBH6	44.08526	truedata_enz	3.07944e-06	2.6543729128511434e-08	6.58e-06
A0A0K3CBI0	A0A0K3CBI0	A0A0K3CBI0	69.33339	truedata_enz	8.7048e-08	4.770896100709918e-10	1.86e-07
A0A0K3CBJ3	A0A0K3CBJ3	A0A0K3CBJ3	47.59491999999999	truedata_enz	2.5459200000000002e-05	2.032674075300474e-07	5.44e-05
A0A0K3CBK1	A0A0K3CBK1	A0A0K3CBK1	37.85822000000001	truedata_enz	2.0872800000000001e-07	2.095096916865082e-09	4.46e-07
A0A0K3CBK9	A0A0K3CBK9	A0A0K3CBK9	53.06922999999999	truedata_enz	1.65672e-05	1.1862874211666537e-07	3.54e-05
A0A0K3CBN2	A0A0K3CBN2	A0A0K3CBN2	112.33222	truedata_enz	3.84228e-06	1.2997752559328034e-08	8.21e-06
