id	rxn_src	enz	protein_stoich
RXN-ACACT142i_x_FWD-rt5445	ACACT142i_x	rt5445	rt5445:1
RXN-ACACT142i_x_FWD-rt6860	ACACT142i_x	rt6860	rt6860:1
RXN-ACACT143i_x_FWD-rt0697	ACACT143i_x	rt0697	rt0697:1
RXN-ACACT143i_x_FWD-rt5445	ACACT143i_x	rt5445	rt5445:1
RXN-ACACT143i_x_FWD-rt6860	ACACT143i_x	rt6860	rt6860:1
RXN-ACACT160i_m_FWD-rt0517	ACACT160i_m	rt0517	rt0517:1
RXN-ACACT160i_x_FWD-rt0697	ACACT160i_x	rt0697	rt0697:1
RXN-ACACT160i_x_FWD-rt5445	ACACT160i_x	rt5445	rt5445:1
RXN-ACACT160i_x_FWD-rt6860	ACACT160i_x	rt6860	rt6860:1
RXN-ACACT161ai_m_FWD-rt0517	ACACT161ai_m	rt0517	rt0517:1
RXN-ACACT161ai_x_FWD-rt0697	ACACT161ai_x	rt0697	rt0697:1
RXN-ACACT161ai_x_FWD-rt5445	ACACT161ai_x	rt5445	rt5445:1
RXN-ACACT161ai_x_FWD-rt6860	ACACT161ai_x	rt6860	rt6860:1
RXN-ACACT161bi_m_FWD-rt0517	ACACT161bi_m	rt0517	rt0517:1
RXN-ACACT161bi_x_FWD-rt0697	ACACT161bi_x	rt0697	rt0697:1
RXN-ACACT161bi_x_FWD-rt5445	ACACT161bi_x	rt5445	rt5445:1
RXN-ACACT161bi_x_FWD-rt6860	ACACT161bi_x	rt6860	rt6860:1
RXN-ACACT162i_x_FWD-rt0697	ACACT162i_x	rt0697	rt0697:1
RXN-ACACT162i_x_FWD-rt5445	ACACT162i_x	rt5445	rt5445:1
RXN-ACACT162i_x_FWD-rt6860	ACACT162i_x	rt6860	rt6860:1
RXN-ACACT163i_x_FWD-rt0697	ACACT163i_x	rt0697	rt0697:1
RXN-ACACT163i_x_FWD-rt5445	ACACT163i_x	rt5445	rt5445:1
RXN-ACACT163i_x_FWD-rt6860	ACACT163i_x	rt6860	rt6860:1
RXN-ACACT180i_m_FWD-rt0517	ACACT180i_m	rt0517	rt0517:1
RXN-ACACT180i_x_FWD-rt0697	ACACT180i_x	rt0697	rt0697:1
RXN-ACACT180i_x_FWD-rt5445	ACACT180i_x	rt5445	rt5445:1
RXN-ACACT180i_x_FWD-rt6860	ACACT180i_x	rt6860	rt6860:1
RXN-ACACT181ai_m_FWD-rt0517	ACACT181ai_m	rt0517	rt0517:1
RXN-ACACT181ai_x_FWD-rt0697	ACACT181ai_x	rt0697	rt0697:1
RXN-ACACT181ai_x_FWD-rt5445	ACACT181ai_x	rt5445	rt5445:1
RXN-ACACT181ai_x_FWD-rt6860	ACACT181ai_x	rt6860	rt6860:1
RXN-ACACT182i_x_FWD-rt0697	ACACT182i_x	rt0697	rt0697:1
RXN-ACACT182i_x_FWD-rt5445	ACACT182i_x	rt5445	rt5445:1
RXN-ACACT182i_x_FWD-rt6860	ACACT182i_x	rt6860	rt6860:1
RXN-ACACT183i_x_FWD-rt0697	ACACT183i_x	rt0697	rt0697:1
RXN-ACACT183i_x_FWD-rt5445	ACACT183i_x	rt5445	rt5445:1
